,Joke
0,chicken walk bar look around say barman sorri wrong joke
1,knock knock rude cow rude co mooooooooooooooooooooooo
2,dinosaur cross road road
3,two cow graze togeth pastur one cow say worri whole mad cow diseas thing repli care lake
4,sex research phone one particip recent survey check discrep ask bloke respons question frequenc intercours answer weekli wife hand answer time night right repli bloke go stay second mortgag paid
5,blind man enter shop guid dog pick dog start swing air salesgirl ask help sir thank say look
6,man tell doctor entir bodi hurt hurt touch neck touch chest touch knee doctor say sir finger broken
7,group friend went deer hunt separ pair day night one hunter retun alon stagger eight-point buck mike ask anoth hunter faint coupl mile trail mike partner answer left lie alon carri deer back tough call said hunter figur one go steal mike
8,download movi jamaica pirat caribbean
9,shakespear thou talk normal
10,doctor tell guy bad news alzheim cancer guy say thank god cancer
11,dinner speaker write long speech peopl bore secretari sir gave speech plu two extra copi want
12,visit modern art museum ladi turn attend stand nearbi said suppos one hideou represent call modern art madam repli attend one call mirror
13,german shepherd went telegram offic took blank form wrote woof woof woof woof woof woof woof woof woof clerk examin paper polit told dog nine word send anoth woof price dog repli make sens
14,scot invent hypnosi chloroform hypoderm syring easier talk woman
15,barber gave haircut priest one day priest tri pay haircut barber refus say god work next morn barber found dozen bibl door shop policeman came barber haircut barber refus payment say protect public next morn barber found dozen doughnut door shop lawyer came barber haircut barber refus payment say serv justic system next morn barber found dozen lawyer wait free haircut
16,parapleg walk bar realli
17,statist speak 6 7 dwarv happi
18,pick hitch hiker got hit
19,hear new household cleaner put market call bachelor work fast leav ring
20,two sausag pan one said blimey hot one said aaaah talk sausag
21,two parrot perch one said smell fish
22,duck goe bar say bitter bag excel salt vinegar crisp barman respond speak good english duck duck say barman say thought work circu make good live say duck plumber
23,nippl pierc sick lose car key troubl got realli elong nippl shove key ignit
24,boy dad sock hole dad boy well get feet
25,see said blind man deaf ladi
26,got lost thought unfamiliar territori
27,guy enter bar carri allig say patron deal open allig mouth place genit insid gator close mouth one minut open remov unit unscath work everyon buy drink crowd agre guy drop pant put privat gator mouth gator close mouth minut guy grab beer bottl bang gator top head gator open wide remov genit unscath everyon buy drink say pay anyon 100 will give tri hand goe back bar woman give tri say promis hit head beer bottl
28,hot dog walk bar bartend look say serv food
29,man walk bar barman said got steer wheel stick fli know said man drive nut
30,peopl alway tell back hard drive ca seem figur put revers
31,old beekeep never die buzz
32,redneck best friend toni duck hunt suddenli magnific mallard flew head shoulder rifl toni blast sky great shot huh exclaim toni sure said redneck wast bullet figur repli toni well said redneck fall alon kill
33,make idiot read dumb joke
34,man pay 2 1 item need woman pay 1 2 item need sale
35,insensit bit base peni call man
36,engin cross road one day frog call said kiss turn beauti princess bent pick frog put pocket frog spoke said kiss turn back beauti princess stay one week engin took frog pocket smile return pocket frog cri kiss turn back princess stay anyth want engin took frog smile put back pocket final frog ask matter told beauti princess stay week anyth want wo kiss engin said look engin time girlfriend talk frog cool
37,old man drive along motorway pull polic realiz wife fell car five mile back say polic offic thank good exclaim old man thought go deaf
38,polit correct idea take fun dysfunct
39,hear constip account use pencil budget
40,hear new sushi bar cater exclus lawyer call sosumi
41,two cannib soup lunch one said realli like mother-in-law side okay eat noodl
42,hear african american group bought toy r us make one chang name toy b us
43,read mani horribl thing drink smoke recent made new firm new year resolut read
44,spend night studi sleep exam
45,say ca get decent job without educ look albert einstein drop-out still end first man moon
46,past anoth countri properti cheaper
47,wife ca children like
48,date pe teacher moment liter embrac childhood fear
49,best trade ever made
50,go kid need set good exampl grandkid
51,ca lose home pigeon home pigeon come back lost pigeon
52,heard secret servic chang command ca say get anymor presid attack donald duck
53,free time stalk realli enjoy walk park go movi friend know
54,man drop phone concret floor phone fine damag come airplan mode
55,call shotgun cop put back anyway
56,recent studi say masturb 2 time week increas life expect 20 done math jealou immort
57,got fire job bank today old ladi came ask check balanc push
58,use two kidney grew
59,dr bad new jim jim doc dr stop masturb jim oh god dr talk
60,appreci badass chines make languag total tattoo symbol
61,dad donat present orphanag son dad ahv someth play take
62,seen cat late ling nope seen dad late jamal
63,get man never lay finger walk life
64,one twin ugli
65,made delici vegan hotdog
66,one thing muslim man ca white peopl play prank intern airport
67,like liber anyth work class anyth apart mix
68,asian grade scale averag b bad c catastroph disown f forgotten forev
69,oregon lead america marit infidel clinic depress sad state affair
70,find obes joke horribl think enough plate
71,wish white peopl took joke well take land cultur
72,cow friend food name one cow friend mom
73,dog love glad live china
74,know lot joke unemploy peopl none work
75,suffer pm wife get suffer
